dataset,method,runs,mean_log_loss,std_log_loss,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,mean_runtime_sec,std_runtime_sec,mean_n_iter,std_n_iter,convergence_rate
breast_cancer,ifsn-safe-fixed-s64,5,0.14796735076245277,0.02044133908807428,0.9930232558139535,0.00566710909546802,0.9582608695652175,0.01686149515623074,1.7164928800000034,0.3563233019467426,200.0,0.0,0.0
breast_cancer,ifsn-safe-fresh-full,5,0.1373265272361552,0.02179144434938862,0.9947674418604651,0.004468117949816681,0.9652173913043478,0.01982913782781113,0.055760520000001534,0.003012330773604301,6.0,0.0,1.0
breast_cancer,ifsn-safe-fresh-s128,5,0.13786961993696056,0.021961607404516262,0.9947674418604651,0.004468117949816681,0.9652173913043478,0.01982913782781113,2.0191903400000006,0.13400404639552385,200.0,0.0,0.0
breast_cancer,ifsn-safe-fresh-s32,5,0.13990516983129234,0.02242961502296038,0.9945736434108527,0.004717974066281721,0.9634782608695651,0.022940706014387698,1.4657557999999986,0.04020781173344165,200.0,0.0,0.0
breast_cancer,ifsn-safe-fresh-s64,5,0.13844493528749652,0.021810671641835682,0.9947028423772609,0.00457973433456489,0.9652173913043478,0.01982913782781113,1.6459602600000012,0.06182224748592225,200.0,0.0,0.0
breast_cancer,sklearn-lbfgs,5,0.1373265271533945,0.021791444368454704,0.9947674418604651,0.004468117949816681,0.9652173913043478,0.01982913782781113,0.01825326000000016,0.003949774274865763,18.8,0.39999999999999997,1.0
breast_cancer,sklearn-liblinear,5,0.1399483298470257,0.01676661318769081,0.9947674418604651,0.0043593883252720945,0.9791304347826086,0.011795356492391768,0.004742339999997935,0.0034698142881691156,8.4,0.48989794855663565,1.0
breast_cancer,sklearn-saga,5,0.13732652711712104,0.021791441839931286,0.9947674418604651,0.004468117949816681,0.9652173913043478,0.01982913782781113,0.03172667999999956,0.003075723022900481,183.2,10.571660229122008,1.0
mushroom,ifsn-reference-fixed-full,5,0.07171050471734393,0.0009272156475314689,0.9999818432711163,2.351824052548426e-05,0.9995082974800246,0.00045994559149034055,11.077328560000007,0.5983727630477562,6.0,0.0,1.0
mushroom,ifsn-reference-fixed-s128,5,0.09980792199382268,0.009597847692174194,0.9969203161691723,0.003603135713571571,0.9875845113706209,0.006126581828827115,0.3109974600000044,0.03558928712785289,6.8,0.39999999999999997,1.0
mushroom,ifsn-reference-fixed-s32,5,0.20459285820420492,0.023325862039596367,0.9818541651536059,0.003367306856758983,0.9274738783036263,0.014477069964781595,0.10555085999999961,0.017444754120065405,7.0,0.0,1.0
mushroom,ifsn-reference-fixed-s64,5,0.15605289419731122,0.02852867471324087,0.9898685452828818,0.005238203870771943,0.9508297480024585,0.023365572338466496,0.16831357999999455,0.02553630203533264,7.0,0.0,1.0
mushroom,ifsn-reference-fresh-full,5,0.07171050471734393,0.0009272156475314689,0.9999818432711163,2.351824052548426e-05,0.9995082974800246,0.00045994559149034055,12.383003820000061,1.983015983692985,6.0,0.0,1.0
mushroom,ifsn-reference-fresh-s128,5,0.11024249757653952,0.009944116605324849,0.9969542087297553,0.003512143628801441,0.9851259987707437,0.009501125437708497,12.985677639999988,0.48864218084820776,200.0,0.0,0.0
mushroom,ifsn-reference-fresh-s32,5,0.32258562152903447,0.06948359163678461,0.9788210835935798,0.008194682917091524,0.8968653964351567,0.03112568221900945,3.2640565599999887,0.3561535256988934,200.0,0.0,0.0
mushroom,ifsn-reference-fresh-s64,5,0.14939898131199042,0.015948864400970233,0.9906828745733168,0.002662497245227756,0.9615242778119238,0.013197198541023062,6.545603799999964,0.3462707617593275,200.0,0.0,0.0
mushroom,ifsn-safe-fixed-full,5,0.07171057212258951,0.0009272144241313523,0.9999818432711163,2.351824052548426e-05,0.9995082974800246,0.00045994559149034055,9.002623920000008,1.0934163420950305,5.0,0.0,1.0
mushroom,ifsn-safe-fixed-s128,5,0.10108637400343219,0.010205334660779584,0.9970150337715158,0.0034708945096799328,0.9878303626306085,0.005718354443571258,18.300505919999996,0.3561392253182406,200.0,0.0,0.0
mushroom,ifsn-safe-fixed-s32,5,0.2065063276008742,0.022002315255206493,0.9831199917689496,0.004159384259593283,0.9347264904732636,0.008502331390677605,8.544548539999987,1.152274555000492,200.0,0.0,0.0
mushroom,ifsn-safe-fixed-s64,5,0.1594111367509134,0.029411734066791102,0.9904571259108625,0.004947084571149286,0.9525507068223724,0.02199441488759085,11.936030400000003,1.2729353422750258,200.0,0.0,0.0
mushroom,ifsn-safe-fresh-full,5,0.07171057212258951,0.0009272144241313523,0.9999818432711163,2.351824052548426e-05,0.9995082974800246,0.00045994559149034055,8.685357220000014,0.8399528384573444,5.0,0.0,1.0
mushroom,ifsn-safe-fresh-s128,5,0.08626932469080895,0.0017398939116610459,0.9999418984675721,2.59188673897608e-05,0.9975414874001227,0.0011661749207750565,17.217281680000024,1.2969040007154558,200.0,0.0,0.0
mushroom,ifsn-safe-fresh-s32,5,0.13212157901657734,0.00484641379016717,0.9989242138136394,0.000255613241093638,0.9807006760909649,0.0035964938754339797,7.596468519999988,0.9954731503667802,200.0,0.0,0.0
mushroom,ifsn-safe-fresh-s64,5,0.10189721377785159,0.001335183724517655,0.9998269058513085,0.00011254812587472996,0.9942224953902888,0.002924493485770227,10.633969999999977,1.0273898040252496,200.0,0.0,0.0
mushroom,sklearn-lbfgs,5,0.07171050332050366,0.0009272163157727231,0.9999818432711163,2.351824052548426e-05,0.9995082974800246,0.00045994559149034055,0.04451523999999836,0.008681603648538285,21.2,0.39999999999999997,1.0
mushroom,sklearn-liblinear,5,0.07174000965212901,0.0009224795269278802,0.9999812380468202,2.4539587639760003e-05,0.9995082974800246,0.00045994559149034055,0.12106976000000884,0.04573260353471194,8.0,0.0,1.0
mushroom,sklearn-saga,5,0.07171050594475671,0.0009272154189343449,0.9999818432711163,2.351824052548426e-05,0.9995082974800246,0.00045994559149034055,1.1618514400000137,0.12420787003911836,147.2,17.05754964817632,1.0
